id,original_id,category,dataset,image_path,original_path,description,width,height,original_width,original_height,aspect_ratio,file_size_kb,room_count,room_types,has_balcony,has_garage,floors,architectural_style,area_estimate,split
high_quality_00031,3790,high_quality,cubicasa5k,data/processed/images/high_quality_00031_3790.png,../data/cubicasa5k/high_quality/3790/F1_original.png,Contemporary compact 2-room apartment,512,512,592,693,0.8542568542568543,136,2,,False,False,1,contemporary,240,train
high_quality_00033,13671,high_quality,cubicasa5k,data/processed/images/high_quality_00033_13671.png,../data/cubicasa5k/high_quality/13671/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,834,498,1.6746987951807228,77,2,,True,False,1,traditional,400,train
high_quality_00034,14692,high_quality,cubicasa5k,data/processed/images/high_quality_00034_14692.png,../data/cubicasa5k/high_quality/14692/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,445,567,0.7848324514991182,56,2,,True,False,1,traditional,290,train
high_quality_00035,4773,high_quality,cubicasa5k,data/processed/images/high_quality_00035_4773.png,../data/cubicasa5k/high_quality/4773/F1_original.png,Contemporary 4-room apartment,512,512,980,759,1.2911725955204216,203,4,,False,False,1,contemporary,748,train
high_quality_00037,11589,high_quality,cubicasa5k,data/processed/images/high_quality_00037_11589.png,../data/cubicasa5k/high_quality/11589/F1_original.png,Modern 4-room apartment with balcony,512,512,4000,3000,1.3333333333333333,773,4,,True,False,1,modern,600,train
high_quality_00040,1468,high_quality,cubicasa5k,data/processed/images/high_quality_00040_1468.png,../data/cubicasa5k/high_quality/1468/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,735,545,1.348623853211009,51,2,,True,False,1,contemporary,282,train
high_quality_00041,3594,high_quality,cubicasa5k,data/processed/images/high_quality_00041_3594.png,../data/cubicasa5k/high_quality/3594/F1_original.png,Traditional compact 2-room apartment,512,512,1403,801,1.7515605493133584,317,2,,False,False,1,traditional,294,train
high_quality_00043,4745,high_quality,cubicasa5k,data/processed/images/high_quality_00043_4745.png,../data/cubicasa5k/high_quality/4745/F1_original.png,Modern compact 2-room apartment,512,512,490,760,0.6447368421052632,46,2,,False,False,1,modern,334,train
high_quality_00044,5697,high_quality,cubicasa5k,data/processed/images/high_quality_00044_5697.png,../data/cubicasa5k/high_quality/5697/F1_original.png,Traditional compact 2-room apartment with balcony and garage,512,512,902,1105,0.816289592760181,288,2,,True,True,1,traditional,302,train
high_quality_00045,12761,high_quality,cubicasa5k,data/processed/images/high_quality_00045_12761.png,../data/cubicasa5k/high_quality/12761/F1_original.png,Modern compact 2-room apartment with balcony and garage,512,512,800,711,1.1251758087201125,238,2,,True,True,1,modern,380,train
high_quality_00049,4548,high_quality,cubicasa5k,data/processed/images/high_quality_00049_4548.png,../data/cubicasa5k/high_quality/4548/F1_original.png,Contemporary compact 2-room apartment,512,512,1023,655,1.5618320610687022,292,2,,False,False,1,contemporary,386,train
high_quality_00051,13486,high_quality,cubicasa5k,data/processed/images/high_quality_00051_13486.png,../data/cubicasa5k/high_quality/13486/F1_original.png,Modern compact 2-room apartment,512,512,715,438,1.6324200913242009,110,2,,False,False,1,modern,348,train
high_quality_00052,12130,high_quality,cubicasa5k,data/processed/images/high_quality_00052_12130.png,../data/cubicasa5k/high_quality/12130/F1_original.png,Modern 4-room apartment with balcony,512,512,431,663,0.6500754147812972,224,4,,True,False,1,modern,528,train
high_quality_00055,13029,high_quality,cubicasa5k,data/processed/images/high_quality_00055_13029.png,../data/cubicasa5k/high_quality/13029/F1_original.png,Modern compact 2-room apartment,512,512,567,401,1.4139650872817957,122,2,,False,False,1,modern,352,train
high_quality_00057,1095,high_quality,cubicasa5k,data/processed/images/high_quality_00057_1095.png,../data/cubicasa5k/high_quality/1095/F1_original.png,Modern compact 2-room apartment,512,512,1249,788,1.5850253807106598,352,2,,False,False,1,modern,262,train
high_quality_00058,5607,high_quality,cubicasa5k,data/processed/images/high_quality_00058_5607.png,../data/cubicasa5k/high_quality/5607/F1_original.png,Contemporary 4-room apartment with garage,512,512,925,947,0.9767687434002112,771,4,,False,True,1,contemporary,688,train
high_quality_00059,14250,high_quality,cubicasa5k,data/processed/images/high_quality_00059_14250.png,../data/cubicasa5k/high_quality/14250/F1_original.png,Contemporary compact 2-room apartment with balcony and garage,512,512,774,880,0.8795454545454545,281,2,,True,True,1,contemporary,254,train
high_quality_00060,3736,high_quality,cubicasa5k,data/processed/images/high_quality_00060_3736.png,../data/cubicasa5k/high_quality/3736/F1_original.png,Contemporary compact 2-room apartment,512,512,827,759,1.0895915678524375,299,2,,False,False,1,contemporary,306,train
high_quality_00063,3160,high_quality,cubicasa5k,data/processed/images/high_quality_00063_3160.png,../data/cubicasa5k/high_quality/3160/F1_original.png,Contemporary compact 2-room apartment with garage,512,512,755,755,1.0,177,2,,False,True,1,contemporary,388,train
high_quality_00064,12705,high_quality,cubicasa5k,data/processed/images/high_quality_00064_12705.png,../data/cubicasa5k/high_quality/12705/F1_original.png,Traditional 4-room apartment with balcony,512,512,678,637,1.0643642072213502,143,4,,True,False,1,traditional,508,train
high_quality_00065,14892,high_quality,cubicasa5k,data/processed/images/high_quality_00065_14892.png,../data/cubicasa5k/high_quality/14892/F1_original.png,Modern compact 2-room apartment with balcony,512,512,523,524,0.9980916030534353,46,2,,True,False,1,modern,280,train
high_quality_00066,12957,high_quality,cubicasa5k,data/processed/images/high_quality_00066_12957.png,../data/cubicasa5k/high_quality/12957/F1_original.png,Modern 4-room apartment,512,512,1320,787,1.6772554002541296,298,4,,False,False,1,modern,512,train
high_quality_00067,337,high_quality,cubicasa5k,data/processed/images/high_quality_00067_337.png,../data/cubicasa5k/high_quality/337/F1_original.png,Modern 4-room apartment with balcony,512,512,855,346,2.4710982658959537,191,4,,True,False,1,modern,684,train
high_quality_00071,12530,high_quality,cubicasa5k,data/processed/images/high_quality_00071_12530.png,../data/cubicasa5k/high_quality/12530/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,1666,1274,1.3076923076923077,157,2,,True,False,1,contemporary,340,train
high_quality_00072,3503,high_quality,cubicasa5k,data/processed/images/high_quality_00072_3503.png,../data/cubicasa5k/high_quality/3503/F1_original.png,Modern compact 2-room apartment,512,512,630,802,0.7855361596009975,53,2,,False,False,1,modern,320,train
high_quality_00073,798,high_quality,cubicasa5k,data/processed/images/high_quality_00073_798.png,../data/cubicasa5k/high_quality/798/F1_original.png,Modern compact 2-room apartment,512,512,304,469,0.6481876332622601,97,2,,False,False,1,modern,356,train
high_quality_00075,1092,high_quality,cubicasa5k,data/processed/images/high_quality_00075_1092.png,../data/cubicasa5k/high_quality/1092/F1_original.png,Contemporary 4-room apartment,512,512,976,849,1.149587750294464,314,4,,False,False,1,contemporary,656,train
high_quality_00077,1639,high_quality,cubicasa5k,data/processed/images/high_quality_00077_1639.png,../data/cubicasa5k/high_quality/1639/F1_original.png,Traditional compact 2-room apartment,512,512,1070,671,1.594634873323398,314,2,,False,False,1,traditional,316,train
high_quality_00078,12961,high_quality,cubicasa5k,data/processed/images/high_quality_00078_12961.png,../data/cubicasa5k/high_quality/12961/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,533,534,0.99812734082397,123,2,,True,False,1,contemporary,374,train
high_quality_00079,13847,high_quality,cubicasa5k,data/processed/images/high_quality_00079_13847.png,../data/cubicasa5k/high_quality/13847/F1_original.png,Modern compact 2-room apartment with garage,512,512,702,548,1.281021897810219,116,2,,False,True,1,modern,266,train
high_quality_00080,8572,high_quality,cubicasa5k,data/processed/images/high_quality_00080_8572.png,../data/cubicasa5k/high_quality/8572/F1_original.png,Contemporary compact 2-room apartment with garage,512,512,520,552,0.9420289855072465,108,2,,False,True,1,contemporary,266,train
high_quality_00082,10635,high_quality,cubicasa5k,data/processed/images/high_quality_00082_10635.png,../data/cubicasa5k/high_quality/10635/F1_original.png,Modern compact 2-room apartment with garage,512,512,350,302,1.1589403973509933,43,2,,False,True,1,modern,306,train
high_quality_00085,3707,high_quality,cubicasa5k,data/processed/images/high_quality_00085_3707.png,../data/cubicasa5k/high_quality/3707/F1_original.png,Contemporary compact 2-room apartment,512,512,351,453,0.7748344370860927,94,2,,False,False,1,contemporary,280,train
high_quality_00087,1606,high_quality,cubicasa5k,data/processed/images/high_quality_00087_1606.png,../data/cubicasa5k/high_quality/1606/F1_original.png,Traditional compact 2-room apartment,512,512,887,871,1.0183696900114811,240,2,,False,False,1,traditional,278,train
high_quality_00089,5060,high_quality,cubicasa5k,data/processed/images/high_quality_00089_5060.png,../data/cubicasa5k/high_quality/5060/F1_original.png,Modern compact 2-room apartment,512,512,874,829,1.0542822677925212,346,2,,False,False,1,modern,332,train
high_quality_00091,13420,high_quality,cubicasa5k,data/processed/images/high_quality_00091_13420.png,../data/cubicasa5k/high_quality/13420/F1_original.png,Contemporary compact 2-room apartment,512,512,1125,855,1.3157894736842106,97,2,,False,False,1,contemporary,330,train
high_quality_00092,5890,high_quality,cubicasa5k,data/processed/images/high_quality_00092_5890.png,../data/cubicasa5k/high_quality/5890/F1_original.png,Modern compact 2-room apartment,512,512,980,913,1.0733844468784228,617,2,,False,False,1,modern,398,train
high_quality_00093,14054,high_quality,cubicasa5k,data/processed/images/high_quality_00093_14054.png,../data/cubicasa5k/high_quality/14054/F1_original.png,Contemporary 4-room apartment,512,512,849,1065,0.7971830985915493,212,4,,False,False,1,contemporary,560,train
high_quality_00094,339,high_quality,cubicasa5k,data/processed/images/high_quality_00094_339.png,../data/cubicasa5k/high_quality/339/F1_original.png,Contemporary 4-room apartment with balcony,512,512,869,652,1.3328220858895703,110,4,,True,False,1,contemporary,492,train
high_quality_00096,11384,high_quality,cubicasa5k,data/processed/images/high_quality_00096_11384.png,../data/cubicasa5k/high_quality/11384/F1_original.png,Modern compact 2-room apartment,512,512,307,581,0.5283993115318416,76,2,,False,False,1,modern,336,train
high_quality_00097,5093,high_quality,cubicasa5k,data/processed/images/high_quality_00097_5093.png,../data/cubicasa5k/high_quality/5093/F1_original.png,Contemporary compact 2-room apartment,512,512,799,491,1.6272912423625254,70,2,,False,False,1,contemporary,290,train
high_quality_00098,10064,high_quality,cubicasa5k,data/processed/images/high_quality_00098_10064.png,../data/cubicasa5k/high_quality/10064/F1_original.png,Contemporary 4-room apartment with balcony,512,512,780,753,1.0358565737051793,177,4,,True,False,1,contemporary,596,train
high_quality_00099,9894,high_quality,cubicasa5k,data/processed/images/high_quality_00099_9894.png,../data/cubicasa5k/high_quality/9894/F1_original.png,Contemporary 4-room apartment with balcony and garage,512,512,1068,791,1.3501896333754742,343,4,,True,True,1,contemporary,648,train
high_quality_00100,13017,high_quality,cubicasa5k,data/processed/images/high_quality_00100_13017.png,../data/cubicasa5k/high_quality/13017/F1_original.png,Traditional compact 2-room apartment with garage,512,512,567,485,1.1690721649484537,81,2,,False,True,1,traditional,328,train
high_quality_00101,12793,high_quality,cubicasa5k,data/processed/images/high_quality_00101_12793.png,../data/cubicasa5k/high_quality/12793/F1_original.png,Contemporary 4-room apartment with garage,512,512,738,595,1.2403361344537815,123,4,,False,True,1,contemporary,648,train
high_quality_00103,6470,high_quality,cubicasa5k,data/processed/images/high_quality_00103_6470.png,../data/cubicasa5k/high_quality/6470/F1_original.png,Contemporary 4-room apartment with garage,512,512,536,640,0.8375,62,4,,False,True,1,contemporary,532,train
high_quality_00104,1655,high_quality,cubicasa5k,data/processed/images/high_quality_00104_1655.png,../data/cubicasa5k/high_quality/1655/F1_original.png,Contemporary 4-room apartment,512,512,822,779,1.055198973042362,423,4,,False,False,1,contemporary,700,train
high_quality_00106,10666,high_quality,cubicasa5k,data/processed/images/high_quality_00106_10666.png,../data/cubicasa5k/high_quality/10666/F1_original.png,Traditional compact 2-room apartment,512,512,919,1428,0.6435574229691877,305,2,,False,False,1,traditional,240,train
high_quality_00108,3901,high_quality,cubicasa5k,data/processed/images/high_quality_00108_3901.png,../data/cubicasa5k/high_quality/3901/F1_original.png,Modern compact 2-room apartment,512,512,678,498,1.3614457831325302,149,2,,False,False,1,modern,324,train
high_quality_00110,10037,high_quality,cubicasa5k,data/processed/images/high_quality_00110_10037.png,../data/cubicasa5k/high_quality/10037/F1_original.png,Modern compact 2-room apartment,512,512,4000,3000,1.3333333333333333,450,2,,False,False,1,modern,342,train
high_quality_00113,12564,high_quality,cubicasa5k,data/processed/images/high_quality_00113_12564.png,../data/cubicasa5k/high_quality/12564/F1_original.png,Traditional compact 2-room apartment with garage,512,512,1340,878,1.5261958997722096,332,2,,False,True,1,traditional,240,train
high_quality_00114,1456,high_quality,cubicasa5k,data/processed/images/high_quality_00114_1456.png,../data/cubicasa5k/high_quality/1456/F1_original.png,Contemporary compact 2-room apartment,512,512,739,475,1.5557894736842106,315,2,,False,False,1,contemporary,394,train
high_quality_00115,13442,high_quality,cubicasa5k,data/processed/images/high_quality_00115_13442.png,../data/cubicasa5k/high_quality/13442/F1_original.png,Traditional compact 2-room apartment,512,512,800,600,1.3333333333333333,92,2,,False,False,1,traditional,294,train
high_quality_00116,11588,high_quality,cubicasa5k,data/processed/images/high_quality_00116_11588.png,../data/cubicasa5k/high_quality/11588/F1_original.png,Traditional compact 2-room apartment with garage,512,512,815,600,1.3583333333333334,183,2,,False,True,1,traditional,282,train
high_quality_00117,397,high_quality,cubicasa5k,data/processed/images/high_quality_00117_397.png,../data/cubicasa5k/high_quality/397/F1_original.png,Modern compact 2-room apartment,512,512,602,365,1.6493150684931508,153,2,,False,False,1,modern,398,train
high_quality_00118,3930,high_quality,cubicasa5k,data/processed/images/high_quality_00118_3930.png,../data/cubicasa5k/high_quality/3930/F1_original.png,Modern 4-room apartment with balcony and garage,512,512,688,562,1.2241992882562278,103,4,,True,True,1,modern,636,train
high_quality_00119,5801,high_quality,cubicasa5k,data/processed/images/high_quality_00119_5801.png,../data/cubicasa5k/high_quality/5801/F1_original.png,Modern compact 2-room apartment with balcony,512,512,721,515,1.4,135,2,,True,False,1,modern,250,train
high_quality_00121,14832,high_quality,cubicasa5k,data/processed/images/high_quality_00121_14832.png,../data/cubicasa5k/high_quality/14832/F1_original.png,Traditional 4-room apartment with garage,512,512,971,562,1.7277580071174377,122,4,,False,True,1,traditional,676,train
high_quality_00123,8528,high_quality,cubicasa5k,data/processed/images/high_quality_00123_8528.png,../data/cubicasa5k/high_quality/8528/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,743,577,1.2876949740034662,257,2,,True,False,1,traditional,348,train
high_quality_00125,14694,high_quality,cubicasa5k,data/processed/images/high_quality_00125_14694.png,../data/cubicasa5k/high_quality/14694/F1_original.png,Traditional 4-room apartment with balcony,512,512,1600,1200,1.3333333333333333,355,4,,True,False,1,traditional,712,train
high_quality_00126,12278,high_quality,cubicasa5k,data/processed/images/high_quality_00126_12278.png,../data/cubicasa5k/high_quality/12278/F1_original.png,Contemporary compact 2-room apartment,512,512,614,439,1.398633257403189,33,2,,False,False,1,contemporary,382,train
high_quality_00129,3845,high_quality,cubicasa5k,data/processed/images/high_quality_00129_3845.png,../data/cubicasa5k/high_quality/3845/F1_original.png,Traditional compact 2-room apartment with balcony and garage,512,512,477,627,0.7607655502392344,194,2,,True,True,1,traditional,354,train
high_quality_00132,12623,high_quality,cubicasa5k,data/processed/images/high_quality_00132_12623.png,../data/cubicasa5k/high_quality/12623/F1_original.png,Traditional compact 2-room apartment with balcony and garage,512,512,931,632,1.4731012658227849,314,2,,True,True,1,traditional,300,train
high_quality_00133,1523,high_quality,cubicasa5k,data/processed/images/high_quality_00133_1523.png,../data/cubicasa5k/high_quality/1523/F1_original.png,Traditional compact 2-room apartment with balcony and garage,512,512,935,667,1.4017991004497752,154,2,,True,True,1,traditional,260,train
high_quality_00135,4607,high_quality,cubicasa5k,data/processed/images/high_quality_00135_4607.png,../data/cubicasa5k/high_quality/4607/F1_original.png,Modern compact 2-room apartment,512,512,360,529,0.6805293005671077,97,2,,False,False,1,modern,324,train
high_quality_00137,7082,high_quality,cubicasa5k,data/processed/images/high_quality_00137_7082.png,../data/cubicasa5k/high_quality/7082/F1_original.png,Contemporary spacious 6-room house,512,512,1122,868,1.292626728110599,230,6,,False,False,1,contemporary,732,train
high_quality_00139,7620,high_quality,cubicasa5k,data/processed/images/high_quality_00139_7620.png,../data/cubicasa5k/high_quality/7620/F1_original.png,Traditional compact 2-room apartment,512,512,1509,896,1.6841517857142858,172,2,,False,False,1,traditional,346,train
high_quality_00140,5514,high_quality,cubicasa5k,data/processed/images/high_quality_00140_5514.png,../data/cubicasa5k/high_quality/5514/F1_original.png,Contemporary compact 2-room apartment with garage,512,512,1000,705,1.4184397163120568,72,2,,False,True,1,contemporary,296,train
high_quality_00142,2193,high_quality,cubicasa5k,data/processed/images/high_quality_00142_2193.png,../data/cubicasa5k/high_quality/2193/F1_original.png,Traditional spacious 6-room house,512,512,1086,1222,0.8887070376432079,295,6,,False,False,1,traditional,846,train
high_quality_00143,12624,high_quality,cubicasa5k,data/processed/images/high_quality_00143_12624.png,../data/cubicasa5k/high_quality/12624/F1_original.png,Traditional 4-room apartment with balcony and garage,512,512,1162,1056,1.1003787878787878,227,4,,True,True,1,traditional,752,train
high_quality_00145,3880,high_quality,cubicasa5k,data/processed/images/high_quality_00145_3880.png,../data/cubicasa5k/high_quality/3880/F1_original.png,Modern compact 2-room apartment with balcony and garage,512,512,623,567,1.0987654320987654,168,2,,True,True,1,modern,286,train
high_quality_00146,6398,high_quality,cubicasa5k,data/processed/images/high_quality_00146_6398.png,../data/cubicasa5k/high_quality/6398/F1_original.png,Contemporary compact 2-room apartment,512,512,298,803,0.3711083437110834,152,2,,False,False,1,contemporary,356,train
high_quality_00148,3077,high_quality,cubicasa5k,data/processed/images/high_quality_00148_3077.png,../data/cubicasa5k/high_quality/3077/F1_original.png,Modern compact 2-room apartment,512,512,788,682,1.155425219941349,231,2,,False,False,1,modern,260,train
high_quality_00150,12840,high_quality,cubicasa5k,data/processed/images/high_quality_00150_12840.png,../data/cubicasa5k/high_quality/12840/F1_original.png,Modern compact 2-room apartment,512,512,346,536,0.6455223880597015,54,2,,False,False,1,modern,250,train
high_quality_00153,8661,high_quality,cubicasa5k,data/processed/images/high_quality_00153_8661.png,../data/cubicasa5k/high_quality/8661/F1_original.png,Traditional compact 2-room apartment with garage,512,512,1027,838,1.2255369928400954,507,2,,False,True,1,traditional,304,train
high_quality_00156,2532,high_quality,cubicasa5k,data/processed/images/high_quality_00156_2532.png,../data/cubicasa5k/high_quality/2532/F1_original.png,Modern compact 2-room apartment,512,512,495,422,1.1729857819905214,73,2,,False,False,1,modern,336,train
high_quality_00158,10586,high_quality,cubicasa5k,data/processed/images/high_quality_00158_10586.png,../data/cubicasa5k/high_quality/10586/F1_original.png,Modern compact 2-room apartment,512,512,836,570,1.4666666666666666,259,2,,False,False,1,modern,316,train
high_quality_00160,7689,high_quality,cubicasa5k,data/processed/images/high_quality_00160_7689.png,../data/cubicasa5k/high_quality/7689/F1_original.png,Modern compact 2-room apartment with balcony,512,512,412,689,0.5979680696661829,77,2,,True,False,1,modern,334,train
high_quality_00161,13304,high_quality,cubicasa5k,data/processed/images/high_quality_00161_13304.png,../data/cubicasa5k/high_quality/13304/F1_original.png,Contemporary spacious 6-room house with garage,512,512,421,563,0.7477797513321492,118,6,,False,True,1,contemporary,1038,train
high_quality_00163,11834,high_quality,cubicasa5k,data/processed/images/high_quality_00163_11834.png,../data/cubicasa5k/high_quality/11834/F1_original.png,Traditional 4-room apartment with garage,512,512,478,512,0.93359375,88,4,,False,True,1,traditional,744,train
high_quality_00164,10785,high_quality,cubicasa5k,data/processed/images/high_quality_00164_10785.png,../data/cubicasa5k/high_quality/10785/F1_original.png,Traditional compact 2-room apartment,512,512,746,492,1.516260162601626,71,2,,False,False,1,traditional,362,train
high_quality_00165,5540,high_quality,cubicasa5k,data/processed/images/high_quality_00165_5540.png,../data/cubicasa5k/high_quality/5540/F1_original.png,Modern compact 2-room apartment with garage,512,512,758,573,1.3228621291448517,147,2,,False,True,1,modern,308,train
high_quality_00167,4002,high_quality,cubicasa5k,data/processed/images/high_quality_00167_4002.png,../data/cubicasa5k/high_quality/4002/F1_original.png,Modern 4-room apartment with garage,512,512,567,603,0.9402985074626866,87,4,,False,True,1,modern,768,train
high_quality_00171,10776,high_quality,cubicasa5k,data/processed/images/high_quality_00171_10776.png,../data/cubicasa5k/high_quality/10776/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,857,641,1.3369734789391576,183,2,,True,False,1,traditional,260,train
high_quality_00175,13751,high_quality,cubicasa5k,data/processed/images/high_quality_00175_13751.png,../data/cubicasa5k/high_quality/13751/F1_original.png,Contemporary 4-room apartment,512,512,2481,3508,0.7072405929304447,931,4,,False,False,1,contemporary,668,train
high_quality_00176,1548,high_quality,cubicasa5k,data/processed/images/high_quality_00176_1548.png,../data/cubicasa5k/high_quality/1548/F1_original.png,Contemporary compact 2-room apartment,512,512,2197,2300,0.9552173913043478,3810,2,,False,False,1,contemporary,380,train
high_quality_00178,626,high_quality,cubicasa5k,data/processed/images/high_quality_00178_626.png,../data/cubicasa5k/high_quality/626/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,482,360,1.3388888888888888,76,2,,True,False,1,traditional,320,train
high_quality_00179,477,high_quality,cubicasa5k,data/processed/images/high_quality_00179_477.png,../data/cubicasa5k/high_quality/477/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,369,579,0.6373056994818653,103,2,,True,False,1,contemporary,286,train
high_quality_00181,483,high_quality,cubicasa5k,data/processed/images/high_quality_00181_483.png,../data/cubicasa5k/high_quality/483/F1_original.png,Contemporary spacious 6-room house with garage,512,512,1156,692,1.670520231213873,166,6,,False,True,1,contemporary,792,train
high_quality_00183,10385,high_quality,cubicasa5k,data/processed/images/high_quality_00183_10385.png,../data/cubicasa5k/high_quality/10385/F1_original.png,Contemporary 4-room apartment with balcony and garage,512,512,493,577,0.854419410745234,215,4,,True,True,1,contemporary,620,train
high_quality_00185,5140,high_quality,cubicasa5k,data/processed/images/high_quality_00185_5140.png,../data/cubicasa5k/high_quality/5140/F1_original.png,Contemporary compact 2-room apartment,512,512,410,640,0.640625,75,2,,False,False,1,contemporary,242,train
high_quality_00187,13164,high_quality,cubicasa5k,data/processed/images/high_quality_00187_13164.png,../data/cubicasa5k/high_quality/13164/F1_original.png,Modern compact 2-room apartment,512,512,488,779,0.6264441591784339,41,2,,False,False,1,modern,268,train
high_quality_00188,448,high_quality,cubicasa5k,data/processed/images/high_quality_00188_448.png,../data/cubicasa5k/high_quality/448/F1_original.png,Modern compact 2-room apartment with garage,512,512,486,744,0.6532258064516129,104,2,,False,True,1,modern,386,train
high_quality_00189,20174,high_quality,cubicasa5k,data/processed/images/high_quality_00189_20174.png,../data/cubicasa5k/high_quality/20174/F1_original.png,Modern compact 2-room apartment with garage,512,512,785,1059,0.7412653446647781,229,2,,False,True,1,modern,384,train
high_quality_00192,1514,high_quality,cubicasa5k,data/processed/images/high_quality_00192_1514.png,../data/cubicasa5k/high_quality/1514/F1_original.png,Contemporary compact 2-room apartment with balcony,512,512,436,692,0.630057803468208,34,2,,True,False,1,contemporary,352,train
high_quality_00193,11091,high_quality,cubicasa5k,data/processed/images/high_quality_00193_11091.png,../data/cubicasa5k/high_quality/11091/F1_original.png,Traditional compact 2-room apartment with garage,512,512,1600,1455,1.0996563573883162,164,2,,False,True,1,traditional,318,train
high_quality_00197,470,high_quality,cubicasa5k,data/processed/images/high_quality_00197_470.png,../data/cubicasa5k/high_quality/470/F1_original.png,Contemporary compact 2-room apartment with garage,512,512,843,439,1.9202733485193624,64,2,,False,True,1,contemporary,392,train
